Round;Time death (s);Killer;Killer side;Killer team;Killer blinded;Victim;Victim side;Victim team;Victim_blinded;Weapon;Headshot;Crouching;Trade_kill
3;105,19;NiT0.;CT;UKF E-Sports ;FALSE;Skalw0;T;UCM Tedi Echo;FALSE;M4A1-S;TRUE;FALSE;FALSE
4;18,86;zuluuu;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;MP9;FALSE;FALSE;FALSE
4;22,27;zuluuu;CT;UKF E-Sports ;FALSE;s666s;T;UCM Tedi Echo;FALSE;MP9;TRUE;FALSE;FALSE
4;28,39;zuluuu;CT;UKF E-Sports ;TRUE;Addixx;T;UCM Tedi Echo;TRUE;MP9;FALSE;FALSE;FALSE
4;28,83;.Not1ce;T;UCM Tedi Echo;TRUE;zuluuu;CT;UKF E-Sports ;FALSE;Desert Eagle;FALSE;FALSE;TRUE
4;34,39;NiT0.;CT;UKF E-Sports ;FALSE;Skalw0;T;UCM Tedi Echo;FALSE;USP-S;TRUE;TRUE;FALSE
4;39,36;NepriateL;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;MP9;FALSE;FALSE;FALSE
5;75,77;zuluuu;CT;UKF E-Sports ;FALSE;Skalw0;T;UCM Tedi Echo;FALSE;M4A1-S;TRUE;FALSE;FALSE
5;79,61;zuluuu;CT;UKF E-Sports ;FALSE;s666s;T;UCM Tedi Echo;FALSE;M4A1-S;TRUE;FALSE;FALSE
5;80,78;Addixx;T;UCM Tedi Echo;FALSE;naboj1;CT;UKF E-Sports ;FALSE;AK-47;FALSE;FALSE;FALSE
5;81,39;Addixx;T;UCM Tedi Echo;FALSE;zuluuu;CT;UKF E-Sports ;FALSE;AK-47;FALSE;FALSE;TRUE
5;97,06;Addixx;T;UCM Tedi Echo;FALSE;NiT0.;CT;UKF E-Sports ;FALSE;AK-47;TRUE;TRUE;FALSE
5;99,56;Newstartik;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;USP-S;TRUE;FALSE;FALSE
5;121,67;Kolardo;T;UCM Tedi Echo;FALSE;Newstartik;CT;UKF E-Sports ;FALSE;AK-47;TRUE;FALSE;FALSE
5;123,12;NepriateL;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;M4A4;FALSE;FALSE;TRUE
5;125,3;Addixx;T;UCM Tedi Echo;FALSE;NepriateL;CT;UKF E-Sports ;FALSE;AK-47;TRUE;FALSE;TRUE
6;75,56;Skalw0;T;UCM Tedi Echo;FALSE;NiT0.;CT;UKF E-Sports ;FALSE;SSG 08;TRUE;FALSE;FALSE
6;77,75;Newstartik;CT;UKF E-Sports ;TRUE;s666s;T;UCM Tedi Echo;FALSE;M4A1-S;TRUE;FALSE;FALSE
6;78,95;Newstartik;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
6;83,33;Addixx;T;UCM Tedi Echo;FALSE;zuluuu;CT;UKF E-Sports ;FALSE;MAC-10;TRUE;FALSE;FALSE
6;85,44;Kolardo;T;UCM Tedi Echo;FALSE;NepriateL;CT;UKF E-Sports ;FALSE;AK-47;TRUE;TRUE;FALSE
7;43,05;NiT0.;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;Zeus (Tazer);FALSE;FALSE;FALSE
7;43,28;Kolardo;T;UCM Tedi Echo;FALSE;zuluuu;CT;UKF E-Sports ;FALSE;AK-47;TRUE;FALSE;FALSE
7;45,28;Kolardo;T;UCM Tedi Echo;FALSE;NiT0.;CT;UKF E-Sports ;FALSE;AK-47;TRUE;FALSE;TRUE
7;54,73;NepriateL;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;P250;TRUE;FALSE;FALSE
